Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
1094.a5.txt,1482.48,1347.71,548.07,251.57,1,0,0
1104.a5.txt,1669.46,989.93,578.86,444.63,0,1,0
1112.a5.txt,1993.96,1087.61,1019.64,521.15,0,0,1
2071.a5.txt,2283.91,1061.14,892.48,400.56,1,0,0
0222.a5.txt,1771.54,1151.98,697.0,416.26,0,0,1
0215.a5.txt,1762.39,952.01,558.62,283.24,1,0,0
2005.a5.txt,1921.68,1120.22,619.31,336.98,1,0,0
0185.a5.txt,1805.79,1047.7,724.02,221.47,0,1,0
1065.a5.txt,1816.68,966.14,726.67,388.11,0,1,0
2019.a5.txt,1804.44,1164.44,666.67,364.44,1,0,0
2075.a5.txt,1990.16,814.65,623.29,415.53,1,0,0
1050.a5.txt,1609.66,1106.64,764.59,482.9,0,1,0
1057.a5.txt,1370.31,1207.18,611.75,342.58,0,1,0
0223.a5.txt,1586.94,1032.65,675.78,387.24,0,0,1
0197.a5.txt,1505.29,886.9,374.29,333.6,1,0,0
0119.a5.txt,1837.75,1092.72,736.75,231.79,0,1,0
1062.a5.txt,1488.33,868.87,772.33,450.52,0,0,1
0219.a5.txt,2063.06,981.98,891.89,603.6,1,0,0
0238.a5.txt,1898.2,1145.28,668.08,328.74,1,0,0
1061.a5.txt,1457.29,1072.03,586.26,234.51,1,0,0
1022.a5.txt,2377.12,1152.82,1054.51,455.76,1,0,0
1067.a5.txt,1746.17,1064.74,638.84,340.72,0,1,0
0103.a5.txt,1844.48,1103.07,623.87,388.79,0,1,0
1012.a5.txt,1975.0,1025.0,741.67,325.0,1,0,0
0108.a5.txt,2099.92,1061.67,765.03,327.87,1,0,0
1064.a5.txt,2182.7,1236.86,606.31,582.05,0,0,1
0111.a5.txt,1669.78,1044.78,680.97,307.84,0,1,0
2045.a5.txt,1915.47,1034.17,737.41,323.74,1,0,0
0122.a5.txt,1757.36,1025.87,722.57,365.74,1,0,0
1014.a5.txt,1851.85,1012.35,790.12,353.91,1,0,0
2028.a5.txt,2038.44,912.83,734.39,439.26,1,0,0
1068.a5.txt,1963.64,1309.09,727.27,509.09,0,1,0
0188.a5.txt,1559.35,1055.08,744.76,457.72,1,0,0
0115.a5.txt,1329.88,1079.45,751.3,483.59,1,0,0
0199.a5.txt,1814.71,993.31,773.64,382.04,0,1,0
0200.a5.txt,1478.26,1165.22,695.65,426.09,0,0,1
1072.a5.txt,1390.33,1055.76,542.75,460.97,1,0,0
1003.a5.txt,2204.65,1041.86,716.28,241.86,1,0,0
0137.a5.txt,1797.02,1061.45,577.28,456.24,0,1,0
0139.a5.txt,1340.87,1195.48,525.04,315.02,0,0,1
0125.a5.txt,2228.63,1008.65,883.77,480.31,1,0,0
0182.a5.txt,2265.06,1076.31,738.96,425.7,0,0,1
