Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0135.a4.txt,1670.28,1008.68,715.84,574.84,0,0,1
0165.a4.txt,1867.63,1015.41,407.98,398.91,1,0,0
1052.a4.txt,1366.34,1128.71,613.86,465.35,1,0,0
2014.a4.txt,1360.07,1063.64,671.32,401.05,1,0,0
0218.a4.txt,1243.63,1172.27,621.81,214.07,1,0,0
0195.a4.txt,1600.0,1131.71,380.49,321.95,1,0,0
0110.a4.txt,1793.98,1157.41,613.43,335.65,1,0,0
0178.a4.txt,1736.23,1068.45,709.52,450.75,0,0,1
3001.a4.txt,1493.82,1303.52,504.28,485.25,1,0,0
1068.a4.txt,2134.29,959.23,671.46,239.81,1,0,0
4023.a4.txt,1301.83,1137.9,617.16,559.31,1,0,0
2076.a4.txt,1445.54,1178.22,594.06,455.45,1,0,0
0190.a4.txt,1329.18,1048.81,477.67,342.68,1,0,0
2008.a4.txt,1304.91,1214.47,788.11,503.88,1,0,0
1067.a4.txt,1445.52,992.45,604.1,431.5,1,0,0
2075.a4.txt,1418.62,1035.68,522.19,443.86,1,0,0
2067.a4.txt,1290.66,1101.78,577.12,430.22,1,0,0
0139.a4.txt,1402.71,837.1,769.23,305.43,0,0,1
0202.a4.txt,1391.59,1467.1,366.77,194.17,0,0,1
2021.a4.txt,1421.52,1273.45,473.84,414.61,0,0,1
1009.a4.txt,1698.11,1054.38,566.04,377.36,0,0,1
2042.a4.txt,1463.41,1043.9,653.66,273.17,1,0,0
1018.a4.txt,1501.62,1209.42,641.23,430.19,1,0,0
1099.a4.txt,1459.35,1165.52,656.22,254.65,1,0,0
0216.a4.txt,1447.03,1300.6,473.73,292.85,1,0,0
1012.a4.txt,1733.07,956.18,776.89,358.57,1,0,0
0188.a4.txt,1679.04,1020.41,612.24,463.82,1,0,0
0134.a4.txt,1311.32,1000.0,773.58,349.06,1,0,0
1104.a4.txt,1628.6,983.12,685.2,337.64,1,0,0
0137.a4.txt,1777.04,993.38,540.84,397.35,0,0,1
0238.a4.txt,1480.08,1309.3,474.38,313.09,1,0,0
0198.a4.txt,1128.4,1147.86,428.02,359.92,1,0,0
2065.a4.txt,1054.1,1184.7,569.03,410.45,1,0,0
0112.a4.txt,1431.51,1184.35,545.83,391.35,1,0,0
0214.a4.txt,1243.12,1309.13,550.06,605.06,1,0,0
0169.a4.txt,1472.19,1275.9,719.74,348.96,0,0,1
0115.a4.txt,1878.45,850.83,718.23,519.34,1,0,0
1060.a4.txt,1664.92,931.94,1015.71,335.08,1,0,0
3062.a4.txt,1732.42,960.55,771.87,488.85,1,0,0
0161.a4.txt,1637.25,1088.24,735.29,284.31,0,0,1
