Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
0103.b3.txt,1878.69,564.45,593.93,248.53,18,1,34
0105.b3.txt,1376.69,861.49,768.58,396.96,7,0,8
0122.b3.txt,1385.17,793.0,597.32,262.62,12,2,17
0130.b3.txt,1575.98,759.75,693.02,426.08,11,5,12
0133.b3.txt,1300.59,773.08,559.35,359.25,39,4,19
0134.b3.txt,1562.14,934.96,807.2,813.01,10,0,11
0139.b3.txt,1969.52,838.22,838.22,363.42,10,1,10
0140.b3.txt,2716.57,647.6,580.32,277.54,5,0,2
0165.b3.txt,1716.37,652.75,629.56,248.51,44,0,21
0171.b3.txt,1622.81,789.47,814.54,313.28,11,1,21
0200.b3.txt,1786.19,790.17,843.29,424.97,8,0,6
0300.b3.txt,1593.05,843.67,803.97,292.8,23,1,16
0303.b3.txt,1512.42,767.49,812.64,428.89,2,0,1
0304.b3.txt,1684.67,835.13,619.15,439.16,6,3,9
0307.b3.txt,1616.27,736.67,769.65,230.9,10,4,20
0308.b3.txt,1765.08,901.59,844.44,704.76,4,1,4
0310.b3.txt,1741.99,718.98,805.26,562.86,21,6,11
0313.b3.txt,1718.5,550.24,773.52,283.09,3,2,13
1023.b3.txt,1256.41,730.77,769.23,448.72,8,0,7
1057.b3.txt,1807.86,946.14,655.02,366.81,19,1,14
1066.b3.txt,1694.92,884.53,958.69,429.03,9,0,9
1069.b3.txt,1459.68,706.3,665.1,397.29,37,1,25
1082.b3.txt,2103.9,678.57,892.86,318.18,13,2,15
1097.b3.txt,1585.6,836.58,904.67,530.16,13,1,9
1100.b3.txt,1622.01,745.84,658.94,304.13,14,2,4
1102.b3.txt,1681.42,707.96,921.83,435.1,4,4,3
1112.b3.txt,1591.28,888.53,823.91,460.42,7,0,11
1508.b3.txt,1527.12,865.84,651.76,313.99,17,1,21
1520.b3.txt,1173.54,779.34,530.13,285.46,20,1,31
1532.b3.txt,1640.21,841.75,668.59,365.56,15,3,20
1533.b3.txt,1709.78,893.29,707.36,339.53,8,0,16
1534.b3.txt,1696.67,837.08,972.1,499.55,13,0,9
1536.b3.txt,1817.69,745.31,686.33,466.49,14,3,6
2018.b3.txt,1786.96,1030.27,675.2,296.86,11,0,13
2034.b3.txt,1426.32,1147.37,600.0,394.74,14,0,11
