Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
initialize_paths,2024-05-30T03:10:00,emotion_analysis_pipeline,0ca42f8c-ba74-49d5-b87c-0c45b60143be,0.032010555267333984,5.053184224109095e-08,1.6295258410282221e-06,32.5,0.0,0.1267390251159668,2.7997642755508425e-07,0.0,1.0561659289957486e-10,2.800820441479838e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
load_processed_data,2024-05-30T03:10:00,emotion_analysis_pipeline,0ca42f8c-ba74-49d5-b87c-0c45b60143be,0.11002683639526367,2.6409967892858045e-07,2.40036218352524e-06,32.5,15.44651744508491,0.1286630630493164,9.932547807693481e-07,4.6777815193577155e-07,2.7881878514790517e-09,1.4638211205565987e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
initialize_visualization_values,2024-05-30T03:10:00,emotion_analysis_pipeline,0ca42f8c-ba74-49d5-b87c-0c45b60143be,0.0400080680847168,6.523320789419108e-08,1.63057905817374e-06,32.5,0.0,0.12890052795410156,3.6117318603727555e-07,0.0,3.938853978979752e-10,3.615670714351733e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
visualize_emotion_distribution_by_season,2024-05-30T03:10:02,emotion_analysis_pipeline,0ca42f8c-ba74-49d5-b87c-0c45b60143be,1.0836868286132812,2.939866129645307e-06,2.714267565759143e-06,32.5,21.52524982309473,0.14559316635131836,9.78235618935691e-06,6.469727397984126e-06,4.2665992220349835e-08,1.629474957956139e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
visualize_emotion_fluctuations_across_seasons,2024-05-30T03:10:02,emotion_analysis_pipeline,0ca42f8c-ba74-49d5-b87c-0c45b60143be,0.6569125652313232,1.7102229921897338e-06,2.603258371003898e-06,32.5,19.388082484454003,0.1598353385925293,5.926508870389727e-06,3.524725042003407e-06,2.7992063893786202e-08,9.47922597628692e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
