Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
get_cli_args,2024-05-30T16:20:03,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,0.03300046920776367,8.659094488019437e-09,2.164840203823033e-07,22.5,0.5545364202099178,0.0464015007019043,3.551176190376282e-06,8.4444512e-08,6.911089617744892e-09,3.6425317919940267e-06,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
loading_spacy_model,2024-05-30T16:20:05,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,1.9182612895965576,2.8450774801093568e-08,1.4831773427680754e-08,22.5,0.21784406871174936,0.13285160064697266,1.200144588947296e-05,-8.4444512e-08,5.109203728655606e-08,1.1968093414759517e-05,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
initialize_paths,2024-05-30T16:20:05,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,0.016999006271362305,6.996732191212275e-10,4.115503641512111e-08,22.5,5.4243655876737265,0.13285589218139648,2.437531948089592e-07,4.9722262e-08,8.488455972610597e-10,2.9432430240621937e-07,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
load_text_file,2024-05-30T16:26:18,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,373.4697542190552,3.7978524148726193e-10,2.1174195899388392e-08,22.5,8.252668722072794,0.13669252395629883,1.1834800243363391e-07,4.11111440000001e-08,3.011862617082828e-10,1.5976033269525167e-07,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
process_text_with_model,2024-05-30T16:26:18,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,373.62375378608704,2.841544024088062e-09,1.662212936763948e-08,22.5,2.389580809566798,0.13724756240844727,1.0749801993368419e-06,1.1416675800000001e-07,6.176001710969511e-09,1.1953229590478016e-06,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
extract_linguistic_information,2024-05-30T16:26:18,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,373.50429487228394,2.2299359399063147e-10,1.5928183297841988e-08,22.5,0.0,0.13724756240844727,9.372830390942319e-08,0.0,7.610677613432504e-11,9.380441068568626e-08,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
create_row_for_text_file,2024-05-30T16:26:19,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,373.50342321395874,2.683083183425549e-10,2.438603304276353e-08,22.5,12.363202504178158,0.13724756240844727,7.501244545004074e-08,3.7777808000000266e-08,7.623402979118965e-11,1.1286648747988598e-07,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
concatenate_dataframes,2024-05-30T16:26:19,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,313.4598596096039,1.9344028693954625e-10,1.6101676343481446e-08,22.5,0.0,0.13724756240844727,8.12962651251456e-08,0.0,7.626129843212785e-11,8.137252642363701e-08,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
export_df_to_csv,2024-05-30T16:26:19,linguistic_analysis,e9ff1521-ad4c-4677-9324-5a0ed3658ddb,313.4468586444855,2.0760589767532077e-10,1.6018731894317198e-08,22.5,0.0,0.13724756240844727,8.725672960259792e-08,0.0,7.469789636607016e-11,8.733142749890385e-08,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,-71.2,46.8,7.790576934814453,process,N,1.0
