Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
get_cli_args,2024-05-29T15:38:36,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.015999794006347656,1.8052771783662637e-08,1.2033566883858578e-06,22.5,0.0,0.05184316635131836,1.0000318288803101e-07,0.0,5.7630244043593844e-11,1.000608131320746e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_model_name_and_paths,2024-05-29T15:38:36,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.016001462936401367,1.9178776654163552e-08,1.1281185262904217e-06,22.5,0.0,0.05184602737426758,1.0625869035720823e-07,0.0,4.321219222447326e-11,1.0630190254943271e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_gensim_model,2024-05-29T15:38:51,query_expansion,071402d2-b610-4b23-8f43-84777a656126,14.457195043563843,1.6207474241571356e-05,1.1210663798797492e-06,22.5,0.23925132267809787,0.10035181045532227,9.035744667053223e-05,-9.027785e-07,3.782434101934011e-07,8.983291158072562e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
get_word_embeddings,2024-05-29T15:38:51,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.07900190353393555,1.545792940471516e-07,1.9566882087301244e-06,22.5,10.813157614449974,0.10103273391723633,5.812615156173753e-07,2.7333355200000005e-07,2.1891448622568427e-09,8.567842124796289e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_spotify_songs_dataset,2024-05-29T15:38:52,query_expansion,071402d2-b610-4b23-8f43-84777a656126,1.2969970703125,1.4206747342235818e-06,1.0962012506789063e-06,22.5,1.3076994832324889,0.13250970840454102,8.11247825622559e-06,-2.6444465600000006e-07,2.6317818278016608e-08,7.874351418503604e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
validate_artist_input,2024-05-29T15:38:52,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.031000137329101562,3.393140187792052e-08,1.1310118539824176e-06,22.5,0.0,0.13270854949951172,1.875177025794988e-07,0.0,5.533428700724964e-10,1.880710454495719e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
get_num_songs_containing_concept_from_artist,2024-05-29T15:38:52,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.02200007438659668,6.434744669889527e-08,3.06421227624023e-06,22.5,37.5333779564519,0.13274860382080078,1.3747364282607974e-07,2.1888906399999996e-07,2.948700171146136e-10,3.566575768431914e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
output_percentage_concept_from_query_word_embeddings,2024-05-29T15:38:52,query_expansion,071402d2-b610-4b23-8f43-84777a656126,0.03800344467163086,4.297786105834564e-08,1.130851261878393e-06,22.5,0.0,0.13290023803710938,2.375110983848512e-07,0.0,7.016135305093619e-10,2.3821271191536283e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
