Task,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
loading_spacy_model,2024-05-30T12:16:06,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,1.6428587436676023,3.712509210525698e-06,2.261230242033801e-06,32.5,12.470043594730257,0.1322479248046875,1.4830918113390606e-05,5.686948993999241e-06,5.939907739048068e-08,2.057726618478033e-05,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
initialize_paths,2024-05-30T12:16:06,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,0.0234928131103515,4.1047355314077336e-08,1.6992882326903529e-06,32.5,0.0,0.132300853729248,2.2739354107114985e-07,0.0,1.1898713599597214e-10,2.275125282071475e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
load_text_file,2024-05-30T12:22:38,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,391.5098443031311,3.4281109019301994e-08,1.801032037127756e-06,32.5,0.0,0.1324696540832519,1.8989890813829458e-07,0.0,1.1045356226631472e-10,1.900093617003898e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
process_text_with_model,2024-05-30T12:22:38,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,391.7541069984436,6.019998309515686e-07,2.2369615051689817e-06,32.5,11.843096873167031,0.1362905502319336,2.4385415845445783e-06,8.886118220002848e-07,9.541551560800324e-09,3.336694958106304e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
extract_linguistic_information,2024-05-30T12:22:38,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,391.5971055030823,3.5121799567944783e-08,1.709088956354101e-06,32.5,0.0,0.1362905502319336,1.9457389911032785e-07,0.0,9.514482087526763e-11,1.946690439307356e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
create_row_for_text_file,2024-05-30T12:22:38,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,391.5980780124664,4.0849250359902e-08,2.145485413878865e-06,32.5,0.0,0.1362905502319336,2.261494596797476e-07,0.0,2.650353263797185e-10,2.2641449500589853e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
concatenate_dataframes,2024-05-30T12:22:38,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,321.846266746521,6.935594812731204e-08,3.4252938482953275e-06,32.5,34.22734977170321,0.1362905502319336,1.918231447538277e-07,1.925001539993671e-07,9.481987888239892e-11,3.844181186317061e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
export_df_to_csv,2024-05-30T12:22:38,linguistic_analysis,6994bf43-952e-47b0-8d09-1044938d2573,321.8369016647339,4.5998803676434656e-08,1.721370850146631e-06,32.5,0.0,0.1362905502319336,2.548235985967533e-07,0.0,1.3324426959121483e-10,2.549568428669713e-07,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.2,2.4.2,12,AMD Ryzen 5 2600 Six-Core Processor,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,15.930904388427734,process,N,1.0
initialize_paths,2024-05-29T14:49:40,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,0.0150012969970703,1.6924763720125625e-08,1.1270736087002698e-06,22.5,0.0,0.0551648139953613,9.37625765800476e-08,0.0,4.604406825592378e-11,9.380862064830353e-08,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
load_dataset,2024-05-29T14:49:41,logistic_regression,e0ed005c-19af-4d2f-b859-4e601cc805a0,0.934169054031372,9.85423811330799e-07,1.0548639907161467e-06,22.5,4.172240703669412,0.0756154060363769,5.838783085346222e-06,-3.8361141799999993e-07,6.721332968595561e-09,5.461893000314818e-06,Denmark,DNK,central jutland,,,Windows-11-10.0.22631-SP0,3.12.3,2.4.2,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1650,10.2153,56.1567,7.790576934814453,process,N,1.0
